instante,latitude,longitude
2018-01-22 14:46:09.147,-8.03942381023,-34.94078586764
2018-01-22 14:46:39.207,-8.03897697832,-34.94160007039
2018-01-22 14:47:09.157,-8.03783682067,-34.94373523134
2018-01-22 14:47:09.190,-8.05980335534,-34.88608552917
2018-01-22 14:47:39.173,-8.03676992167,-34.94567118256
2018-01-22 14:47:39.233,-8.05971194755,-34.88630281084
2018-01-22 14:48:09.170,-8.0348280134,-34.94910859804
2018-01-22 14:48:09.217,-8.05972982001,-34.88634824888
2018-01-22 14:48:39.183,-8.03448142952,-34.9497509254
2018-01-22 14:48:39.263,-8.05972982001,-34.88634824888
2018-01-22 14:49:09.137,-8.03378847471,-34.95099022669
2018-01-22 14:49:09.167,-8.05794428826,-34.88928805188
2018-01-22 14:49:39.213,-8.0324936056,-34.95333319872
2018-01-22 14:49:39.290,-8.05780771807,-34.88949605102
2018-01-22 14:50:09.147,-8.03217435304,-34.95393029803
2018-01-22 14:50:09.163,-8.05780771807,-34.88949605102
2018-01-22 14:50:39.193,-8.03213806277,-34.95395733472
2018-01-22 14:50:39.240,-8.05638839438,-34.893399044
2018-01-22 14:51:09.160,-8.03213806277,-34.95395733472
2018-01-22 14:51:09.177,-8.05626923346,-34.89375225645
2018-01-22 14:51:39.190,-8.03154518803,-34.95506104763
2018-01-22 14:51:39.237,-8.05521172814,-34.89565222978
2018-01-22 14:52:09.157,-8.03016781746,-34.95763941547
2018-01-22 14:52:09.173,-8.05390720583,-34.89622669542
2018-01-22 14:52:39.187,-8.03100449967,-34.95849600735
2018-01-22 14:52:39.247,-8.05388916668,-34.8962175406
2018-01-22 14:53:09.200,-8.03241010786,-34.9594823121
2018-01-22 14:53:09.307,-8.05388920861,-34.89620846993
2018-01-22 14:53:39.183,-8.03356306176,-34.96036764073
2018-01-22 14:53:39.243,-8.0533637667,-34.89644186683
2018-01-22 14:54:09.150,-8.03556280538,-34.96188287962
2018-01-22 14:54:09.163,-8.05290018251,-34.89698395976
2018-01-22 14:54:39.177,-8.03612113307,-34.96233906852
2018-01-22 14:54:39.227,-8.05275293282,-34.89754566607
2018-01-22 14:55:09.160,-8.03812994811,-34.96384530139
2018-01-22 14:55:09.193,-8.05240175298,-34.8991949204
2018-01-22 14:55:39.177,-8.06349101305,-34.87842842288
2018-01-22 14:55:39.190,-8.03881461804,-34.96434745504
2018-01-22 14:55:39.253,-8.05240124905,-34.89930376786
2018-01-22 14:56:09.157,-8.03921999539,-34.964648722
2018-01-22 14:56:09.157,-8.06255849689,-34.87871439553
2018-01-22 14:56:09.190,-8.05267268173,-34.9012099048
2018-01-22 14:56:39.170,-8.0629050067,-34.88004038328
2018-01-22 14:56:39.187,-8.03945883113,-34.96574736437
2018-01-22 14:56:39.217,-8.05274967324,-34.90215362855
2018-01-22 14:57:09.153,-8.03911135477,-34.96657107694
2018-01-22 14:57:09.153,-8.0629050067,-34.88004038328
2018-01-22 14:57:09.217,-8.0528803164,-34.90322459403
2018-01-22 14:57:39.167,-8.03853196506,-34.96862721087
2018-01-22 14:57:39.213,-8.05298471932,-34.90410495004
2018-01-22 14:58:09.150,-8.03776767406,-34.9715350354
